,length_ext,target,value,VF_mean_ext,VF_std_ext
216,75,ACTB,"[-29.439679978370666, 5.322629521322725]",-29.439679978370666,5.322629521322725
217,77,ACTB,"[-29.953270030975343, 5.689826650974993]",-29.953270030975343,5.689826650974993
218,79,ACTB,"[-30.55353997325897, 5.787565035267867]",-30.55353997325897,5.787565035267867
219,80,ACTB,"[-30.890250009536743, 5.735071683422342]",-30.890250009536743,5.735071683422342
220,81,ACTB,"[-31.016200008392335, 5.757443699854249]",-31.016200008392335,5.757443699854249
221,83,ACTB,"[-31.89965002346039, 5.963297992233038]",-31.89965002346039,5.963297992233038
222,86,ACTB,"[-32.66963997268677, 5.926482076902059]",-32.66963997268677,5.926482076902059
223,89,ACTB,"[-33.37618996238709, 5.83920045728845]",-33.37618996238709,5.83920045728845
224,92,ACTB,"[-34.528929960250856, 6.1125954354517855]",-34.528929960250856,6.1125954354517855
225,93,ACTB,"[-34.53990001106262, 5.92662958235144]",-34.53990001106262,5.92662958235144
226,94,ACTB,"[-34.678950023651126, 6.089338098827778]",-34.678950023651126,6.089338098827778
227,95,ACTB,"[-35.121069986343386, 6.242839691719638]",-35.121069986343386,6.242839691719638
228,96,ACTB,"[-35.96396998786926, 6.093617503918937]",-35.96396998786926,6.093617503918937
229,97,ACTB,"[-35.80659999847412, 6.10525966954742]",-35.80659999847412,6.10525966954742
230,98,ACTB,"[-35.930900021553036, 6.134031530465142]",-35.930900021553036,6.134031530465142
231,99,ACTB,"[-36.96321999168396, 6.283873300568976]",-36.96321999168396,6.283873300568976
232,101,ACTB,"[-36.923550006866456, 6.340912014244453]",-36.923550006866456,6.340912014244453
233,104,ACTB,"[-37.83687000179291, 6.302446292742191]",-37.83687000179291,6.302446292742191
234,107,ACTB,"[-38.834499975204466, 6.447998116758219]",-38.834499975204466,6.447998116758219
235,108,ACTB,"[-39.20637003517151, 6.17818697404413]",-39.20637003517151,6.17818697404413
236,110,ACTB,"[-39.90904999732971, 6.712717101365518]",-39.90904999732971,6.712717101365518
237,113,ACTB,"[-40.57867003631592, 6.519703515625659]",-40.57867003631592,6.519703515625659
238,116,ACTB,"[-42.00473005867004, 6.590353284854182]",-42.00473005867004,6.590353284854182
239,117,ACTB,"[-41.56622004699707, 6.632267213562919]",-41.56622004699707,6.632267213562919
