feature,feature_id,score,order,included
align_InsSpc,0,0.6295410142419522,18,False
align_InsSpc,1,0.7061300322189001,18,False
align_InsSpc,2,0.6350063743453014,18,False
align_InsSpc,3,0.6565602092525654,18,False
align_InsSpc,4,0.592234269615525,18,False
align_InsSpc,5,0.6368109191879725,18,False
align_InsSpc,6,0.6726532209359852,18,False
align_InsSpc,7,0.5791915009042891,18,False
align_InsSpc,8,0.6124113977370867,18,False
align_InsSpc,9,0.6551309006566551,18,False
Arun,0,0.6295410142419522,19,False
Arun,1,0.7061300322189001,19,False
Arun,2,0.6350063743453014,19,False
Arun,3,0.6565602092525654,19,False
Arun,4,0.592234269615525,19,False
Arun,5,0.6368109191879725,19,False
Arun,6,0.6726532209359852,19,False
Arun,7,0.5791915009042891,19,False
Arun,8,0.6124113977370867,19,False
Arun,9,0.6551309006566551,19,False
Crun,0,0.6295410142419522,20,False
Crun,1,0.7076352344106267,20,False
Crun,2,0.6342776378177504,20,False
Crun,3,0.6588093974523427,20,False
Crun,4,0.5916195248430595,20,False
Crun,5,0.6370064594161805,20,False
Crun,6,0.6735694586510529,20,False
Crun,7,0.5778446314128546,20,False
Crun,8,0.6120305044608543,20,False
Crun,9,0.6498759463436581,20,False
Trun,0,0.6295410142419522,21,False
Trun,1,0.7076352344106267,21,False
Trun,2,0.6342776378177504,21,False
Trun,3,0.6588093974523427,21,False
Trun,4,0.5916195248430595,21,False
Trun,5,0.6370064594161805,21,False
Trun,6,0.6735694586510529,21,False
Trun,7,0.5778446314128546,21,False
Trun,8,0.6120305044608543,21,False
Trun,9,0.6498759463436581,21,False
Grun,0,0.628976996758632,22,False
Grun,1,0.7054109707793677,22,False
Grun,2,0.629336861853176,22,False
Grun,3,0.6535016213702224,22,False
Grun,4,0.5898437904370161,22,False
Grun,5,0.6315486997829407,22,False
Grun,6,0.674161995689854,22,False
Grun,7,0.5781444269975275,22,False
Grun,8,0.612401143327499,22,False
Grun,9,0.6492046367174243,22,False
nick2match,0,0.633864059534232,23,False
nick2match,1,0.7080130038817943,23,False
nick2match,2,0.6336610107968383,23,False
nick2match,3,0.6530543427089192,23,False
nick2match,4,0.5894959412203293,23,False
nick2match,5,0.632222154807823,23,False
nick2match,6,0.6693985008548428,23,False
nick2match,7,0.5760138000607565,23,False
nick2match,8,0.6105370490393551,23,False
nick2match,9,0.6527892291113249,23,False
nick3match,0,0.6413821641828723,24,False
nick3match,1,0.7000241742424694,24,False
nick3match,2,0.6370501022366672,24,False
nick3match,3,0.6477295502623104,24,False
nick3match,4,0.5678394324946525,24,False
nick3match,5,0.6318623021165053,24,False
nick3match,6,0.6744297249543084,24,False
nick3match,7,0.5765325477325438,24,False
nick3match,8,0.6093022188662952,24,False
nick3match,9,0.656509411365557,24,False
N1_C,0,0.6401597052356937,25,False
N1_C,1,0.7086544328068052,25,False
N1_C,2,0.6423331009282643,25,False
N1_C,3,0.6544426454444267,25,False
N1_C,4,0.5994923538875085,25,False
N1_C,5,0.630495746141204,25,False
N1_C,6,0.674659798861331,25,False
N1_C,7,0.5812625667274572,25,False
N1_C,8,0.6139037923979421,25,False
N1_C,9,0.6562260159928515,25,False
N1_A,0,0.64256783386957,26,False
N1_A,1,0.7074918776821586,26,False
N1_A,2,0.6508414358712371,26,False
N1_A,3,0.6508488244250855,26,False
N1_A,4,0.5999397138054885,26,False
N1_A,5,0.6261237204233612,26,False
N1_A,6,0.6744773315331467,26,False
N1_A,7,0.5784696935379308,26,False
N1_A,8,0.6129196619268287,26,False
N1_A,9,0.6588742258285076,26,False
N1_T,0,0.6384216279766544,27,False
N1_T,1,0.709266312613273,27,False
N1_T,2,0.6189526993050958,27,False
N1_T,3,0.6535687240727722,27,False
N1_T,4,0.6021526569230587,27,False
N1_T,5,0.6299571101097085,27,False
N1_T,6,0.6741772188985027,27,False
N1_T,7,0.5820054471795731,27,False
N1_T,8,0.6142327793371123,27,False
N1_T,9,0.6620809404753445,27,False
N1_G,0,0.6435262942111823,28,False
N1_G,1,0.7070731253374268,28,False
N1_G,2,0.6234726925429027,28,False
N1_G,3,0.6579110297691979,28,False
N1_G,4,0.5989602317723831,28,False
N1_G,5,0.6315645175401098,28,False
N1_G,6,0.6707309263366237,28,False
N1_G,7,0.5803767202184205,28,False
N1_G,8,0.613757656755636,28,False
N1_G,9,0.6626639463121469,28,False
